release_id,hospital_id,hospital_name,application_name,version,previous_version,deployment_time,deployment_status,deployment_type,engineer,latency_ms,latency_baseline_ms,latency_change_percent,error_rate_percent,error_baseline_percent,error_change,service_availability_percent,availability_change,transaction_count,baseline_transaction_count,transaction_drop_percent,customer_impact_level,affected_hospitals_count,affected_workflows_count,risk_score,risk_level,recommendation,ground_truth_decision,baseline_decision_time_min,adviser_decision_time_min,case_tag
REL-2026-0066,HOSP-GVH-05,Green Valley Hospital,Pharmacy Management Service,v5.9.1,v5.9.0,2026-07-31T23:01:43.589300,CONTINUED,HOTFIX,David Kim (Clinical Systems Analyst),1012.4,311.7,224.8,18.21,0.76,17.45,97.38,-2.52,8561,20076,57.4,CRITICAL,3,3,100,CRITICAL,ROLLBACK RECOMMENDED (HIGH IMPACT CONFIRMATION REQUIRED),ROLLBACK,84.6,5.0,CRITICAL_OUTAGE
REL-2026-0067,HOSP-LKH-03,Lakeside Hospital,Electronic Health Record Service,v2.6.5,v2.6.4,2026-08-05T19:28:09.112821,ROLLED_BACK,FULL_UPGRADE,Dr. Alex Rivera (DevOps Lead),1375.1,619.5,122.0,2.91,0.2,2.71,97.04,-2.86,4859,8368,41.9,CRITICAL,4,3,100,CRITICAL,ROLLBACK RECOMMENDED (HIGH IMPACT CONFIRMATION REQUIRED),ROLLBACK,109.3,3.9,CRITICAL_OUTAGE
REL-2026-0068,HOSP-LKH-03,Lakeside Hospital,Electronic Health Record Service,v5.14.4,v5.14.3,2026-06-26T18:13:03.894611,MONITORING,CANARY,Elena Rostova (Platform Specialist),434.4,428.8,1.3,0.13,0.15,-0.02,99.82,-0.08,20797,20130,-3.3,LOW,1,1,0,LOW,CONTINUE,CONTINUE,21.8,3.3,NORMAL_STABLE
REL-2026-0069,HOSP-MCH-04,Metro Care Hospital,Laboratory Application,v5.4.0,v5.4.0,2026-07-27T20:48:50.880372,ROLLED_BACK,ROLLING_BATCH,Sarah Chen (Release Eng),1024.6,744.3,37.7,2.13,0.79,1.34,99.25,-0.65,6810,7763,12.3,MEDIUM,1,1,55,MEDIUM,HUMAN REVIEW,HUMAN REVIEW,50.7,6.3,TRANSIENT_SPIKE
REL-2026-0070,HOSP-MCH-04,Metro Care Hospital,Pharmacy Management Service,v2.10.1,v2.10.0,2026-08-07T17:41:28.267843,MONITORING,FULL_UPGRADE,Marcus Brody (Clinical SRE),480.2,451.3,6.4,0.4,0.28,0.12,99.87,-0.03,34132,32904,-3.7,LOW,1,1,0,LOW,CONTINUE,CONTINUE,26.7,2.8,NORMAL_STABLE
REL-2026-0071,HOSP-LKH-03,Lakeside Hospital,Laboratory Application,v3.2.6,v3.2.5,2026-07-22T15:40:00.781102,ROLLED_BACK,ROLLING_BATCH,Elena Rostova (Platform Specialist),455.7,400.8,13.7,0.88,0.77,0.11,99.83,-0.07,15754,16197,2.7,LOW,1,0,0,LOW,CONTINUE,CONTINUE,16.7,4.0,NORMAL_STABLE
REL-2026-0072,HOSP-GVH-05,Green Valley Hospital,Electronic Health Record Service,v3.5.2,v3.5.1,2026-06-23T14:37:10.374398,ROLLED_BACK,HOTFIX,David Kim (Clinical Systems Analyst),882.2,725.9,21.5,0.76,0.22,0.54,99.68,-0.22,17970,19341,7.1,HIGH,1,2,25,LOW,CONTINUE,HUMAN REVIEW,43.5,6.7,TRANSIENT_SPIKE
REL-2026-0073,HOSP-MCH-04,Metro Care Hospital,Electronic Health Record Service,v5.14.4,v5.14.3,2026-06-28T09:31:25.425921,ROLLED_BACK,FULL_UPGRADE,Marcus Brody (Clinical SRE),519.5,472.1,10.0,0.19,0.21,-0.02,99.93,0.03,11254,11543,2.5,LOW,1,0,0,LOW,CONTINUE,CONTINUE,20.9,2.3,NORMAL_STABLE
REL-2026-0074,HOSP-CGH-01,City General Hospital,Electronic Health Record Service,v3.13.1,v3.13.0,2026-06-13T06:11:14.247636,ROLLED_BACK,HOTFIX,Marcus Brody (Clinical SRE),495.0,493.2,0.4,0.37,0.34,0.03,99.88,-0.02,5798,5873,1.3,LOW,1,0,0,LOW,CONTINUE,CONTINUE,18.0,2.1,NORMAL_STABLE
REL-2026-0075,HOSP-SMMC-02,St. Mary's Medical Center,Electronic Health Record Service,v5.4.7,v5.4.6,2026-07-28T00:57:46.596733,PENDING_REVIEW,ROLLING_BATCH,Dr. Alex Rivera (DevOps Lead),235.8,251.5,-6.2,0.41,0.28,0.13,99.88,-0.02,32712,32360,-1.1,LOW,1,0,0,LOW,CONTINUE,CONTINUE,15.8,2.3,NORMAL_STABLE
REL-2026-0076,HOSP-GVH-05,Green Valley Hospital,Pharmacy Management Service,v5.0.8,v5.0.7,2026-07-16T15:57:57.834236,PENDING_REVIEW,CANARY,Dr. Alex Rivera (DevOps Lead),499.9,389.3,28.4,0.37,0.1,0.27,98.97,-0.93,15287,16561,7.7,MEDIUM,1,0,20,LOW,CONTINUE,HUMAN REVIEW,37.0,6.1,TRANSIENT_SPIKE
REL-2026-0077,HOSP-MCH-04,Metro Care Hospital,Clinical Portal,v4.0.5,v4.0.4,2026-06-27T11:04:43.718646,CONTINUED,ROLLING_BATCH,Elena Rostova (Platform Specialist),707.2,676.4,4.6,0.72,0.54,0.18,99.87,-0.03,29169,30280,3.7,LOW,1,1,0,LOW,CONTINUE,CONTINUE,25.0,2.4,NORMAL_STABLE
REL-2026-0078,HOSP-SMMC-02,St. Mary's Medical Center,Clinical Portal,v4.6.0,v4.6.0,2026-06-27T05:29:19.444323,ROLLED_BACK,CANARY,Elena Rostova (Platform Specialist),887.7,405.1,119.1,3.48,0.32,3.16,98.78,-1.12,13457,18049,25.4,HIGH,1,1,100,CRITICAL,ROLLBACK RECOMMENDED (HIGH IMPACT CONFIRMATION REQUIRED),ROLLBACK,62.9,7.4,SERIOUS_DEGRADATION
REL-2026-0079,HOSP-CGH-01,City General Hospital,Medical Device Integration Service,v5.12.5,v5.12.4,2026-06-10T19:13:27.506549,ROLLED_BACK,HOTFIX,Elena Rostova (Platform Specialist),506.0,523.4,-3.3,0.64,0.75,-0.11,99.89,-0.01,21848,22015,0.8,LOW,1,0,0,LOW,CONTINUE,CONTINUE,20.7,2.8,NORMAL_STABLE
REL-2026-0080,HOSP-LKH-03,Lakeside Hospital,Medical Device Integration Service,v5.5.7,v5.5.6,2026-08-05T18:30:12.916653,MONITORING,FULL_UPGRADE,Elena Rostova (Platform Specialist),741.5,765.5,-3.1,0.52,0.35,0.17,99.82,-0.08,20114,19252,-4.5,MEDIUM,1,0,0,LOW,CONTINUE,CONTINUE,17.8,4.0,NORMAL_STABLE
REL-2026-0081,HOSP-SMMC-02,St. Mary's Medical Center,Laboratory Application,v3.2.3,v3.2.2,2026-06-28T08:40:43.804329,ROLLED_BACK,CANARY,Elena Rostova (Platform Specialist),421.2,448.9,-6.2,0.56,0.5,0.06,99.89,-0.01,24506,24827,1.3,LOW,1,1,0,LOW,CONTINUE,CONTINUE,21.2,3.3,NORMAL_STABLE
REL-2026-0082,HOSP-SMMC-02,St. Mary's Medical Center,Clinical Portal,v5.12.8,v5.12.7,2026-08-26T19:14:51.132059,ROLLED_BACK,BLUE_GREEN,Dr. Alex Rivera (DevOps Lead),854.8,657.6,30.0,1.42,0.25,1.17,99.0,-0.9,22645,25049,9.6,LOW,1,1,0,LOW,CONTINUE,HUMAN REVIEW,48.6,7.2,TRANSIENT_SPIKE
REL-2026-0083,HOSP-LKH-03,Lakeside Hospital,Clinical Portal,v4.9.2,v4.9.1,2026-07-04T08:41:51.613457,MONITORING,FULL_UPGRADE,David Kim (Clinical Systems Analyst),970.5,614.5,57.9,9.81,0.66,9.15,97.9,-2.0,18258,21670,15.7,CRITICAL,1,2,100,CRITICAL,ROLLBACK RECOMMENDED (HIGH IMPACT CONFIRMATION REQUIRED),ROLLBACK,51.2,6.2,SERIOUS_DEGRADATION
REL-2026-0084,HOSP-LKH-03,Lakeside Hospital,Pharmacy Management Service,v5.13.9,v5.13.8,2026-08-30T18:15:56.652449,MONITORING,FULL_UPGRADE,Elena Rostova (Platform Specialist),1714.2,617.5,177.6,5.6,0.41,5.19,96.21,-3.69,17700,27285,35.1,CRITICAL,1,1,100,CRITICAL,ROLLBACK RECOMMENDED (HIGH IMPACT CONFIRMATION REQUIRED),ROLLBACK,105.3,5.4,CRITICAL_OUTAGE
REL-2026-0085,HOSP-GVH-05,Green Valley Hospital,Electronic Health Record Service,v3.10.3,v3.10.2,2026-08-06T06:25:46.888335,ROLLED_BACK,BLUE_GREEN,Marcus Brody (Clinical SRE),1217.1,781.7,55.7,10.08,0.69,9.39,98.56,-1.34,9900,13211,25.1,HIGH,1,3,100,CRITICAL,ROLLBACK RECOMMENDED (HIGH IMPACT CONFIRMATION REQUIRED),ROLLBACK,72.6,4.7,SERIOUS_DEGRADATION
REL-2026-0086,HOSP-GVH-05,Green Valley Hospital,Clinical Portal,v2.8.3,v2.8.2,2026-06-29T09:37:44.554850,CONTINUED,CANARY,Dr. Alex Rivera (DevOps Lead),637.7,615.3,3.6,0.56,0.45,0.11,99.85,-0.05,25044,25550,2.0,MEDIUM,1,0,0,LOW,CONTINUE,CONTINUE,16.8,2.2,NORMAL_STABLE
REL-2026-0087,HOSP-MCH-04,Metro Care Hospital,Pharmacy Management Service,v3.10.9,v3.10.8,2026-08-24T11:18:46.158417,MONITORING,HOTFIX,Elena Rostova (Platform Specialist),888.7,407.6,118.0,5.67,0.79,4.88,98.45,-1.45,12510,16317,23.3,CRITICAL,1,2,100,CRITICAL,ROLLBACK RECOMMENDED (HIGH IMPACT CONFIRMATION REQUIRED),ROLLBACK,60.9,4.5,SERIOUS_DEGRADATION
REL-2026-0088,HOSP-LKH-03,Lakeside Hospital,Pharmacy Management Service,v3.5.5,v3.5.4,2026-06-14T09:31:26.261084,ROLLED_BACK,HOTFIX,David Kim (Clinical Systems Analyst),440.9,323.4,36.3,1.16,0.21,0.95,98.97,-0.93,19782,21866,9.5,MEDIUM,1,0,50,MEDIUM,HUMAN REVIEW,HUMAN REVIEW,50.2,7.4,TRANSIENT_SPIKE
REL-2026-0089,HOSP-CGH-01,City General Hospital,Clinical Portal,v5.9.8,v5.9.7,2026-09-05T15:50:18.623717,MONITORING,HOTFIX,Marcus Brody (Clinical SRE),313.2,287.1,9.1,0.31,0.29,0.02,99.91,0.01,16816,16985,1.0,LOW,1,1,0,LOW,CONTINUE,CONTINUE,17.8,2.7,NORMAL_STABLE
REL-2026-0090,HOSP-MCH-04,Metro Care Hospital,Laboratory Application,v2.4.1,v2.4.0,2026-08-01T23:03:19.476927,PENDING_REVIEW,FULL_UPGRADE,Marcus Brody (Clinical SRE),525.7,420.4,25.0,3.35,0.76,2.59,98.93,-0.97,26590,29738,10.6,LOW,1,1,45,MEDIUM,HUMAN REVIEW,HUMAN REVIEW,39.1,5.5,TRANSIENT_SPIKE
REL-2026-0091,HOSP-SMMC-02,St. Mary's Medical Center,Laboratory Application,v4.10.2,v4.10.1,2026-08-02T01:06:16.455038,ROLLED_BACK,BLUE_GREEN,David Kim (Clinical Systems Analyst),1114.0,747.7,49.0,2.15,0.52,1.63,99.14,-0.76,20065,21623,7.2,LOW,1,1,30,MEDIUM,HUMAN REVIEW,HUMAN REVIEW,46.1,6.5,TRANSIENT_SPIKE
REL-2026-0092,HOSP-CGH-01,City General Hospital,Laboratory Application,v3.1.9,v3.1.8,2026-07-25T04:12:16.567288,PENDING_REVIEW,ROLLING_BATCH,Elena Rostova (Platform Specialist),626.6,668.8,-6.3,0.82,0.64,0.18,99.99,0.09,16640,17458,4.7,LOW,1,1,0,LOW,CONTINUE,CONTINUE,15.1,3.1,NORMAL_STABLE
REL-2026-0093,HOSP-SMMC-02,St. Mary's Medical Center,Pharmacy Management Service,v5.1.2,v5.1.1,2026-07-21T17:39:23.300338,PENDING_REVIEW,FULL_UPGRADE,David Kim (Clinical Systems Analyst),830.5,848.8,-2.2,0.4,0.43,-0.03,99.87,-0.03,18061,17347,-4.1,LOW,1,1,0,LOW,CONTINUE,CONTINUE,22.8,4.2,NORMAL_STABLE
REL-2026-0094,HOSP-SMMC-02,St. Mary's Medical Center,Electronic Health Record Service,v4.7.4,v4.7.3,2026-06-29T00:31:41.804842,CONTINUED,FULL_UPGRADE,Marcus Brody (Clinical SRE),857.6,648.7,32.2,2.52,0.44,2.08,99.12,-0.78,19426,20722,6.3,LOW,1,1,30,MEDIUM,HUMAN REVIEW,HUMAN REVIEW,52.2,6.1,TRANSIENT_SPIKE
REL-2026-0095,HOSP-LKH-03,Lakeside Hospital,Clinical Portal,v4.14.4,v4.14.3,2026-07-01T03:59:22.938738,CONTINUED,CANARY,Marcus Brody (Clinical SRE),792.9,738.2,7.4,0.26,0.29,-0.03,99.92,0.02,23686,23416,-1.2,LOW,1,0,0,LOW,CONTINUE,CONTINUE,12.8,4.3,NORMAL_STABLE
REL-2026-0096,HOSP-CGH-01,City General Hospital,Clinical Portal,v5.3.2,v5.3.1,2026-09-05T22:18:24.419950,MONITORING,ROLLING_BATCH,Elena Rostova (Platform Specialist),900.0,803.9,12.0,0.43,0.38,0.05,99.99,0.09,32839,33857,3.0,LOW,1,0,0,LOW,CONTINUE,CONTINUE,16.6,2.1,NORMAL_STABLE
REL-2026-0097,HOSP-GVH-05,Green Valley Hospital,Electronic Health Record Service,v3.13.2,v3.13.1,2026-06-14T09:09:16.595587,PENDING_REVIEW,CANARY,David Kim (Clinical Systems Analyst),843.2,743.5,13.4,0.96,0.65,0.31,99.98,0.08,11578,11105,-4.3,LOW,1,1,0,LOW,CONTINUE,CONTINUE,16.8,3.5,NORMAL_STABLE
REL-2026-0098,HOSP-GVH-05,Green Valley Hospital,Laboratory Application,v5.8.3,v5.8.2,2026-06-25T15:15:51.706822,ROLLED_BACK,BLUE_GREEN,Elena Rostova (Platform Specialist),639.1,675.2,-5.3,0.72,0.55,0.17,99.91,0.01,29377,28547,-2.9,LOW,1,1,0,LOW,CONTINUE,CONTINUE,14.8,4.1,NORMAL_STABLE
REL-2026-0099,HOSP-CGH-01,City General Hospital,Pharmacy Management Service,v3.15.5,v3.15.4,2026-06-14T05:02:47.456193,PENDING_REVIEW,BLUE_GREEN,Dr. Alex Rivera (DevOps Lead),511.5,449.3,13.8,0.41,0.41,0.0,99.8,-0.1,14054,13748,-2.2,LOW,1,0,0,LOW,CONTINUE,CONTINUE,23.1,2.2,NORMAL_STABLE
REL-2026-0100,HOSP-LKH-03,Lakeside Hospital,Electronic Health Record Service,v4.3.4,v4.3.3,2026-08-04T07:57:58.461686,CONTINUED,FULL_UPGRADE,Elena Rostova (Platform Specialist),893.8,822.3,8.7,0.53,0.43,0.1,99.91,0.01,19740,19908,0.8,MEDIUM,1,0,0,LOW,CONTINUE,CONTINUE,24.1,4.0,NORMAL_STABLE
REL-2026-0101,HOSP-GVH-05,Green Valley Hospital,Clinical Portal,v4.2.9,v4.2.8,2026-08-27T07:14:05.082841,CONTINUED,HOTFIX,David Kim (Clinical Systems Analyst),1196.0,786.9,52.0,2.15,0.24,1.91,97.7,-2.2,17924,22585,20.6,HIGH,1,3,100,CRITICAL,ROLLBACK RECOMMENDED (HIGH IMPACT CONFIRMATION REQUIRED),ROLLBACK,82.3,6.0,SERIOUS_DEGRADATION
REL-2026-0102,HOSP-GVH-05,Green Valley Hospital,Pharmacy Management Service,v2.14.4,v2.14.3,2026-07-03T07:55:54.601803,ROLLED_BACK,FULL_UPGRADE,Elena Rostova (Platform Specialist),671.0,730.7,-8.2,0.68,0.62,0.06,99.91,0.01,24429,23950,-2.0,LOW,1,1,0,LOW,CONTINUE,CONTINUE,27.0,2.2,NORMAL_STABLE
REL-2026-0103,HOSP-MCH-04,Metro Care Hospital,Electronic Health Record Service,v4.12.7,v4.12.6,2026-06-20T03:58:59.988739,ROLLED_BACK,HOTFIX,Sarah Chen (Release Eng),932.7,444.2,110.0,4.17,0.58,3.59,97.7,-2.2,22811,26685,14.5,CRITICAL,1,1,100,CRITICAL,ROLLBACK RECOMMENDED (HIGH IMPACT CONFIRMATION REQUIRED),ROLLBACK,73.8,6.9,SERIOUS_DEGRADATION
REL-2026-0104,HOSP-MCH-04,Metro Care Hospital,Laboratory Application,v5.7.3,v5.7.2,2026-07-26T23:00:12.779334,PENDING_REVIEW,FULL_UPGRADE,Elena Rostova (Platform Specialist),299.3,322.5,-7.2,0.97,0.71,0.26,99.95,0.05,29840,30083,0.8,LOW,1,0,0,LOW,CONTINUE,CONTINUE,15.9,2.2,NORMAL_STABLE
REL-2026-0105,HOSP-GVH-05,Green Valley Hospital,Clinical Portal,v5.14.3,v5.14.2,2026-07-19T20:09:07.555628,CONTINUED,CANARY,Sarah Chen (Release Eng),903.0,704.4,28.2,1.13,0.2,0.93,99.36,-0.54,13223,14478,8.7,HIGH,1,1,25,LOW,CONTINUE,HUMAN REVIEW,59.6,5.2,TRANSIENT_SPIKE
REL-2026-0106,HOSP-MCH-04,Metro Care Hospital,Medical Device Integration Service,v3.13.8,v3.13.7,2026-07-23T19:26:53.685724,CONTINUED,CANARY,Marcus Brody (Clinical SRE),2262.8,812.0,178.7,12.0,0.57,11.43,95.2,-4.7,16065,30749,47.8,CRITICAL,3,1,100,CRITICAL,ROLLBACK RECOMMENDED (HIGH IMPACT CONFIRMATION REQUIRED),ROLLBACK,81.0,4.8,CRITICAL_OUTAGE
REL-2026-0107,HOSP-MCH-04,Metro Care Hospital,Clinical Portal,v5.4.6,v5.4.5,2026-08-15T13:09:43.164034,CONTINUED,HOTFIX,David Kim (Clinical Systems Analyst),615.9,620.4,-0.7,0.88,0.75,0.13,99.81,-0.09,33837,32758,-3.3,MEDIUM,1,0,0,LOW,CONTINUE,CONTINUE,22.8,3.5,NORMAL_STABLE
REL-2026-0108,HOSP-GVH-05,Green Valley Hospital,Laboratory Application,v3.10.4,v3.10.3,2026-06-12T07:17:16.307806,PENDING_REVIEW,HOTFIX,Sarah Chen (Release Eng),879.4,809.2,8.7,1.02,0.77,0.25,99.94,0.04,9210,8844,-4.1,LOW,1,1,0,LOW,CONTINUE,CONTINUE,18.3,2.6,NORMAL_STABLE
REL-2026-0109,HOSP-MCH-04,Metro Care Hospital,Laboratory Application,v4.11.8,v4.11.7,2026-06-18T23:30:09.076016,CONTINUED,ROLLING_BATCH,Marcus Brody (Clinical SRE),801.1,721.8,11.0,0.88,0.61,0.27,99.88,-0.02,29569,29957,1.3,LOW,1,1,0,LOW,CONTINUE,CONTINUE,23.9,2.0,NORMAL_STABLE
REL-2026-0110,HOSP-SMMC-02,St. Mary's Medical Center,Medical Device Integration Service,v3.15.8,v3.15.7,2026-07-09T12:11:41.738722,MONITORING,HOTFIX,Sarah Chen (Release Eng),523.3,367.3,42.5,2.69,0.68,2.01,99.54,-0.36,24933,28709,13.2,LOW,1,0,55,MEDIUM,HUMAN REVIEW,HUMAN REVIEW,39.2,6.1,TRANSIENT_SPIKE
REL-2026-0111,HOSP-GVH-05,Green Valley Hospital,Clinical Portal,v2.13.2,v2.13.1,2026-06-22T14:26:22.137584,MONITORING,CANARY,Dr. Alex Rivera (DevOps Lead),668.9,659.7,1.4,0.09,0.11,-0.02,99.99,0.09,21868,21571,-1.4,MEDIUM,1,1,0,LOW,CONTINUE,CONTINUE,22.5,2.0,NORMAL_STABLE
REL-2026-0112,HOSP-GVH-05,Green Valley Hospital,Medical Device Integration Service,v2.13.2,v2.13.1,2026-08-27T18:26:42.204299,ROLLED_BACK,ROLLING_BATCH,David Kim (Clinical Systems Analyst),285.8,296.8,-3.7,0.24,0.23,0.01,99.82,-0.08,22906,22250,-2.9,MEDIUM,1,0,0,LOW,CONTINUE,CONTINUE,19.3,2.6,NORMAL_STABLE
REL-2026-0113,HOSP-CGH-01,City General Hospital,Clinical Portal,v5.12.8,v5.12.7,2026-07-25T13:47:54.654453,CONTINUED,HOTFIX,Dr. Alex Rivera (DevOps Lead),887.9,656.8,35.2,0.82,0.16,0.66,99.59,-0.31,29829,32699,8.8,LOW,1,0,30,MEDIUM,HUMAN REVIEW,HUMAN REVIEW,61.8,7.3,TRANSIENT_SPIKE
REL-2026-0114,HOSP-GVH-05,Green Valley Hospital,Pharmacy Management Service,v2.8.8,v2.8.7,2026-07-17T16:52:32.627420,ROLLED_BACK,CANARY,Marcus Brody (Clinical SRE),841.3,803.7,4.7,0.42,0.32,0.1,99.88,-0.02,12038,11788,-2.1,LOW,1,1,0,LOW,CONTINUE,CONTINUE,16.8,3.4,NORMAL_STABLE
REL-2026-0115,HOSP-MCH-04,Metro Care Hospital,Electronic Health Record Service,v4.1.1,v4.1.0,2026-07-29T01:49:11.958409,MONITORING,FULL_UPGRADE,Dr. Alex Rivera (DevOps Lead),723.7,421.4,71.7,8.3,0.64,7.66,97.96,-1.94,17291,24516,29.5,CRITICAL,4,2,100,CRITICAL,ROLLBACK RECOMMENDED (HIGH IMPACT CONFIRMATION REQUIRED),ROLLBACK,72.1,5.4,SERIOUS_DEGRADATION
REL-2026-0116,HOSP-GVH-05,Green Valley Hospital,Medical Device Integration Service,v2.8.2,v2.8.1,2026-08-03T05:04:24.748631,PENDING_REVIEW,CANARY,Sarah Chen (Release Eng),371.6,300.3,23.7,0.75,0.37,0.38,99.19,-0.71,14866,16819,11.6,MEDIUM,1,1,25,LOW,CONTINUE,HUMAN REVIEW,38.1,4.8,TRANSIENT_SPIKE
REL-2026-0117,HOSP-CGH-01,City General Hospital,Clinical Portal,v2.10.6,v2.10.5,2026-09-05T06:51:00.499788,CONTINUED,ROLLING_BATCH,Dr. Alex Rivera (DevOps Lead),795.7,706.5,12.6,0.91,0.61,0.3,99.83,-0.07,23501,23334,-0.7,MEDIUM,1,1,0,LOW,CONTINUE,CONTINUE,14.7,2.7,NORMAL_STABLE
REL-2026-0118,HOSP-CGH-01,City General Hospital,Electronic Health Record Service,v5.9.7,v5.9.6,2026-06-27T23:42:58.625278,ROLLED_BACK,ROLLING_BATCH,Elena Rostova (Platform Specialist),853.1,813.7,4.8,0.56,0.6,-0.04,99.86,-0.04,20410,21246,3.9,MEDIUM,1,1,0,LOW,CONTINUE,CONTINUE,17.3,3.6,NORMAL_STABLE
REL-2026-0119,HOSP-MCH-04,Metro Care Hospital,Laboratory Application,v4.6.7,v4.6.6,2026-08-09T03:10:18.560209,MONITORING,ROLLING_BATCH,Sarah Chen (Release Eng),2447.1,829.7,194.9,7.37,0.3,7.07,95.3,-4.6,17623,27772,36.5,CRITICAL,2,2,100,CRITICAL,ROLLBACK RECOMMENDED (HIGH IMPACT CONFIRMATION REQUIRED),ROLLBACK,86.8,5.5,CRITICAL_OUTAGE
REL-2026-0120,HOSP-MCH-04,Metro Care Hospital,Electronic Health Record Service,v2.13.7,v2.13.6,2026-08-24T21:00:20.881786,MONITORING,ROLLING_BATCH,Elena Rostova (Platform Specialist),399.6,364.2,9.7,0.18,0.21,-0.03,99.9,0.0,19790,18865,-4.9,MEDIUM,1,1,0,LOW,CONTINUE,CONTINUE,20.5,4.3,NORMAL_STABLE
REL-2026-0121,HOSP-LKH-03,Lakeside Hospital,Laboratory Application,v2.7.5,v2.7.4,2026-08-22T10:22:07.389904,PENDING_REVIEW,CANARY,David Kim (Clinical Systems Analyst),758.5,566.1,34.0,2.76,0.55,2.21,99.24,-0.66,25045,26192,4.4,LOW,1,0,30,MEDIUM,HUMAN REVIEW,HUMAN REVIEW,38.0,5.2,TRANSIENT_SPIKE
REL-2026-0122,HOSP-LKH-03,Lakeside Hospital,Pharmacy Management Service,v3.11.0,v3.11.0,2026-07-24T23:11:26.718006,PENDING_REVIEW,FULL_UPGRADE,Elena Rostova (Platform Specialist),906.3,798.4,13.5,0.14,0.16,-0.02,99.89,-0.01,31633,32240,1.9,LOW,1,0,0,LOW,CONTINUE,CONTINUE,20.3,2.9,NORMAL_STABLE
REL-2026-0123,HOSP-MCH-04,Metro Care Hospital,Medical Device Integration Service,v2.3.0,v2.3.0,2026-06-22T00:06:50.000617,CONTINUED,ROLLING_BATCH,Dr. Alex Rivera (DevOps Lead),822.8,640.1,28.5,0.59,0.22,0.37,99.35,-0.55,25389,29264,13.2,MEDIUM,1,0,25,LOW,CONTINUE,HUMAN REVIEW,42.0,5.7,TRANSIENT_SPIKE
REL-2026-0124,HOSP-MCH-04,Metro Care Hospital,Pharmacy Management Service,v3.14.9,v3.14.8,2026-07-29T18:05:20.193013,ROLLED_BACK,FULL_UPGRADE,Dr. Alex Rivera (DevOps Lead),374.3,339.6,10.2,0.24,0.29,-0.05,99.97,0.07,26942,28060,4.0,LOW,1,0,0,LOW,CONTINUE,CONTINUE,17.9,2.5,NORMAL_STABLE
REL-2026-0125,HOSP-MCH-04,Metro Care Hospital,Laboratory Application,v5.12.9,v5.12.8,2026-08-27T02:51:59.328456,CONTINUED,FULL_UPGRADE,Marcus Brody (Clinical SRE),535.7,497.6,7.7,0.22,0.22,0.0,99.82,-0.08,27381,27072,-1.1,LOW,1,0,0,LOW,CONTINUE,CONTINUE,17.0,2.6,NORMAL_STABLE
REL-2026-0126,HOSP-LKH-03,Lakeside Hospital,Electronic Health Record Service,v5.4.9,v5.4.8,2026-08-02T21:03:49.380132,ROLLED_BACK,HOTFIX,David Kim (Clinical Systems Analyst),694.4,613.1,13.3,0.54,0.59,-0.05,99.86,-0.04,25272,26143,3.3,LOW,1,0,0,LOW,CONTINUE,CONTINUE,17.0,3.1,NORMAL_STABLE
REL-2026-0127,HOSP-CGH-01,City General Hospital,Pharmacy Management Service,v5.15.6,v5.15.5,2026-07-06T19:14:00.293076,PENDING_REVIEW,BLUE_GREEN,Sarah Chen (Release Eng),776.7,745.9,4.1,0.6,0.44,0.16,99.81,-0.09,7492,7708,2.8,LOW,1,1,0,LOW,CONTINUE,CONTINUE,20.6,2.4,NORMAL_STABLE
REL-2026-0128,HOSP-GVH-05,Green Valley Hospital,Laboratory Application,v2.8.8,v2.8.7,2026-06-24T08:01:33.398493,ROLLED_BACK,FULL_UPGRADE,Dr. Alex Rivera (DevOps Lead),742.3,734.7,1.0,0.12,0.13,-0.01,99.95,0.05,28345,28559,0.7,LOW,1,1,0,LOW,CONTINUE,CONTINUE,16.8,4.5,NORMAL_STABLE
REL-2026-0129,HOSP-CGH-01,City General Hospital,Pharmacy Management Service,v3.11.9,v3.11.8,2026-07-11T11:20:30.243586,ROLLED_BACK,BLUE_GREEN,Dr. Alex Rivera (DevOps Lead),319.9,290.5,10.1,0.29,0.24,0.05,99.92,0.02,11819,11781,-0.3,LOW,1,1,0,LOW,CONTINUE,CONTINUE,17.2,3.8,NORMAL_STABLE
REL-2026-0130,HOSP-GVH-05,Green Valley Hospital,Clinical Portal,v2.8.2,v2.8.1,2026-07-05T07:06:49.153914,MONITORING,HOTFIX,Sarah Chen (Release Eng),321.8,295.1,9.0,0.42,0.33,0.09,99.92,0.02,13097,13111,0.1,LOW,1,0,0,LOW,CONTINUE,CONTINUE,22.0,2.9,NORMAL_STABLE
REL-2026-0131,HOSP-MCH-04,Metro Care Hospital,Laboratory Application,v5.15.5,v5.15.4,2026-07-16T01:03:05.420100,ROLLED_BACK,ROLLING_BATCH,Marcus Brody (Clinical SRE),1432.2,750.7,90.8,2.09,0.17,1.92,98.85,-1.05,17079,20022,14.7,CRITICAL,3,1,100,CRITICAL,ROLLBACK RECOMMENDED (HIGH IMPACT CONFIRMATION REQUIRED),ROLLBACK,59.8,5.7,SERIOUS_DEGRADATION
